"","sample","percentage","reads","children_reads","rank","taxid","name","date"
"36","eICh24_01",0.16,12,1,"O",213481,"Bdellovibrionales",Feb 2023
"37","eICh24_01",0.09,7,0,"O",213113,"Desulfurellales",Feb 2023
"38","eICh24_01",0.07,5,1,"O",453227,"Desulfarculales",Feb 2023
"39","eICh24_01",2.16,164,1,"O",213849,"Campylobacterales",Feb 2023
"40","eICh24_01",0.07,5,1,"O",235899,"Nautiliales",Feb 2023
"41","eICh24_01",0.14,11,1,"O",225057,"Acidithiobacillales",Feb 2023
"42","eICh24_01",5.25,399,1,"O",1385,"Bacillales",Feb 2023
"43","eICh24_01",4.54,345,1,"O",186826,"Lactobacillales",Feb 2023
"44","eICh24_01",2.79,212,1,"O",186802,"Clostridiales",Feb 2023
"45","eICh24_01",0.72,55,1,"O",68295,"Thermoanaerobacterales",Feb 2023
"46","eICh24_01",0.16,12,1,"O",53433,"Halanaerobiales",Feb 2023
"47","eICh24_01",0.03,2,0,"O",485256,"Natranaerobiales",Feb 2023
"48","eICh24_01",0.17,13,1,"O",909929,"Selenomonadales",Feb 2023
"49","eICh24_01",0.11,8,1,"O",1843489,"Veillonellales",Feb 2023
"50","eICh24_01",0.09,7,1,"O",1843488,"Acidaminococcales",Feb 2023
"51","eICh24_01",0.13,10,1,"O",526525,"Erysipelotrichales",Feb 2023
"52","eICh24_01",0.13,10,1,"O",1737405,"Tissierellales",Feb 2023
"53","eICh24_01",0.05,4,1,"O",1676649,"Limnochordales",Feb 2023
"54","eICh24_01",3.29,250,1,"O",85007,"Corynebacteriales",Feb 2023
"55","eICh24_01",1.84,140,1,"O",85006,"Micrococcales",Feb 2023
"56","eICh24_01",0.99,75,1,"O",85004,"Bifidobacteriales",Feb 2023
"57","eICh24_01",0.96,73,1,"O",85011,"Streptomycetales",Feb 2023
"58","eICh24_01",0.58,44,1,"O",85010,"Pseudonocardiales",Feb 2023
"59","eICh24_01",0.55,42,1,"O",85009,"Propionibacteriales",Feb 2023
"60","eICh24_01",0.28,21,1,"O",85008,"Micromonosporales",Feb 2023
"61","eICh24_01",0.24,18,1,"O",2037,"Actinomycetales",Feb 2023
"62","eICh24_01",0.24,18,1,"O",85012,"Streptosporangiales",Feb 2023
"63","eICh24_01",0.13,10,1,"O",1643682,"Geodermatophilales",Feb 2023
"64","eICh24_01",0.12,9,1,"O",85013,"Frankiales",Feb 2023
"65","eICh24_01",0.07,5,1,"O",85014,"Glycomycetales",Feb 2023
"66","eICh24_01",0.07,5,1,"O",414714,"Catenulisporales",Feb 2023
"67","eICh24_01",0.07,5,1,"O",1643683,"Acidothermales",Feb 2023
"68","eICh24_01",0.07,5,1,"O",1643684,"Nakamurellales",Feb 2023
"69","eICh24_01",0.05,4,0,"O",622452,"Kineosporiales",Feb 2023
"70","eICh24_01",0.2,15,1,"O",1643822,"Eggerthellales",Feb 2023
"71","eICh24_01",0.16,12,1,"O",84999,"Coriobacteriales",Feb 2023
"72","eICh24_01",0.11,8,1,"O",84993,"Acidimicrobiales",Feb 2023
"73","eICh24_01",0.08,6,1,"O",84996,"Rubrobacterales",Feb 2023
"74","eICh24_01",0.07,5,1,"O",588673,"Solirubrobacterales",Feb 2023
"75","eICh24_01",0.85,65,1,"O",1890424,"Synechococcales",Feb 2023
"76","eICh24_01",0.34,26,1,"O",1150,"Oscillatoriales",Feb 2023
"77","eICh24_01",0.24,18,1,"O",1118,"Chroococcales",Feb 2023
"78","eICh24_01",0.3,23,1,"O",1161,"Nostocales",Feb 2023
"79","eICh24_01",0.09,7,1,"O",307595,"Gloeobacterales",Feb 2023
"80","eICh24_01",0.08,6,1,"O",52604,"Pleurocapsales",Feb 2023
"81","eICh24_01",0.05,4,1,"O",1890505,"Chroococcidiopsidales",Feb 2023
"82","eICh24_01",1.26,96,1,"O",2085,"Mycoplasmatales",Feb 2023
"83","eICh24_01",0.35,27,1,"O",186328,"Entomoplasmatales",Feb 2023
"84","eICh24_01",0.21,16,1,"O",186329,"Acholeplasmatales",Feb 2023
"85","eICh24_01",0.22,17,1,"O",1202465,"Dehalococcoidales",Feb 2023
"86","eICh24_01",0.17,13,1,"O",32064,"Chloroflexales",Feb 2023
"87","eICh24_01",0.07,5,1,"O",85001,"Sphaerobacterales",Feb 2023
"88","eICh24_01",0.05,4,0,"O",189776,"Thermomicrobiales",Feb 2023
"89","eICh24_01",0.08,6,1,"O",292629,"Anaerolineales",Feb 2023
"90","eICh24_01",0.07,5,1,"O",475963,"Caldilineales",Feb 2023
"91","eICh24_01",0.37,28,1,"O",68933,"Thermales",Feb 2023
"92","eICh24_01",0.33,25,1,"O",118964,"Deinococcales",Feb 2023
"93","eICh24_01",0.07,5,1,"O",1663425,"Fimbriimonadales",Feb 2023
"94","eICh24_01",1.66,126,1,"O",200644,"Flavobacteriales",Feb 2023
"95","eICh24_01",1,76,1,"O",171549,"Bacteroidales",Feb 2023
"96","eICh24_01",0.75,57,1,"O",768507,"Cytophagales",Feb 2023
"97","eICh24_01",0.25,19,1,"O",200666,"Sphingobacteriales",Feb 2023
"98","eICh24_01",0.25,19,1,"O",1853229,"Chitinophagales",Feb 2023
"99","eICh24_01",0.39,30,1,"O",191411,"Chlorobiales",Feb 2023
"100","eICh24_01",0.12,9,1,"O",795748,"Ignavibacteriales",Feb 2023
"101","eICh24_01",0.07,5,1,"O",218872,"Fibrobacterales",Feb 2023
"102","eICh24_01",0.07,5,1,"O",219686,"Gemmatimonadales",Feb 2023
"103","eICh24_01",0.63,48,1,"O",51291,"Chlamydiales",Feb 2023
"104","eICh24_01",0.3,23,1,"O",112,"Planctomycetales",Feb 2023
"105","eICh24_01",0.07,5,1,"O",666506,"Phycisphaerales",Feb 2023
"106","eICh24_01",0.09,7,1,"O",415000,"Opitutales",Feb 2023
"107","eICh24_01",0.07,5,1,"O",415001,"Puniceicoccales",Feb 2023
"108","eICh24_01",0.08,6,1,"O",48461,"Verrucomicrobiales",Feb 2023
"109","eICh24_01",0.07,5,0,"O",717963,"Methylacidiphilales",Feb 2023
"110","eICh24_01",0.91,69,1,"O",136,"Spirochaetales",Feb 2023
"111","eICh24_01",0.12,9,0,"O",1643686,"Brachyspirales",Feb 2023
"112","eICh24_01",0.42,32,1,"O",2419,"Thermotogales",Feb 2023
"113","eICh24_01",0.11,8,1,"O",1643946,"Kosmotogales",Feb 2023
"114","eICh24_01",0.08,6,1,"O",1643947,"Petrotogales",Feb 2023
"115","eICh24_01",0.39,30,1,"O",203491,"Fusobacteriales",Feb 2023
"116","eICh24_01",0.24,18,1,"O",204433,"Acidobacteriales",Feb 2023
"117","eICh24_01",0.07,5,1,"O",332160,"Solibacterales",Feb 2023
"118","eICh24_01",0.28,21,1,"O",32069,"Aquificales",Feb 2023
"119","eICh24_01",0.08,6,1,"O",1485951,"Desulfurobacteriales",Feb 2023
"120","eICh24_01",0.2,15,1,"O",189778,"Nitrospirales",Feb 2023
"121","eICh24_01",0.17,13,1,"O",191393,"Deferribacterales",Feb 2023
"122","eICh24_01",0.16,12,1,"O",649776,"Synergistales",Feb 2023
"123","eICh24_01",0.13,10,1,"O",188710,"Thermodesulfobacteriales",Feb 2023
"124","eICh24_01",0.07,5,1,"O",189769,"Chrysiogenales",Feb 2023
"125","eICh24_01",0.04,3,1,"O",641854,"Elusimicrobiales",Feb 2023
"126","eICh24_01",0.01,1,0,"O",1783344,"Endomicrobiales",Feb 2023
"127","eICh24_01",0.04,3,0,"O",693072,"Caldisericales",Feb 2023
"128","eICh24_01",0.05,4,0,"O",203487,"Dictyoglomales",Feb 2023
"129","eICh24_02",6.48,497,1,"O",91347,"Enterobacterales",Feb 2023
"130","eICh24_02",2.53,194,1,"O",72274,"Pseudomonadales",Feb 2023
"131","eICh24_02",1.55,119,1,"O",135622,"Alteromonadales",Feb 2023
"132","eICh24_02",1.04,80,1,"O",135614,"Xanthomonadales",Feb 2023
"133","eICh24_02",1.03,79,1,"O",135625,"Pasteurellales",Feb 2023
"134","eICh24_02",0.82,63,1,"O",135623,"Vibrionales",Feb 2023
"135","eICh24_02",0.77,59,1,"O",135619,"Oceanospirillales",Feb 2023
"136","eICh24_02",0.73,56,1,"O",72273,"Thiotrichales",Feb 2023
"137","eICh24_02",0.73,56,1,"O",135613,"Chromatiales",Feb 2023
"138","eICh24_02",0.4,31,1,"O",118969,"Legionellales",Feb 2023
"139","eICh24_02",0.31,24,1,"O",135624,"Aeromonadales",Feb 2023
"140","eICh24_02",0.3,23,1,"O",1706369,"Cellvibrionales",Feb 2023
"141","eICh24_02",0.17,13,1,"O",135618,"Methylococcales",Feb 2023
"142","eICh24_02",0.08,6,1,"O",1240482,"Orbales",Feb 2023
"143","eICh24_02",0.07,5,1,"O",135615,"Cardiobacteriales",Feb 2023
"144","eICh24_02",0.05,4,1,"O",1775403,"Nevskiales",Feb 2023
"145","eICh24_02",3.22,247,1,"O",356,"Rhizobiales",Feb 2023
"146","eICh24_02",1.24,95,1,"O",766,"Rickettsiales",Feb 2023
"147","eICh24_02",1.15,88,1,"O",204455,"Rhodobacterales",Feb 2023
"148","eICh24_02",0.99,76,1,"O",204441,"Rhodospirillales",Feb 2023
"149","eICh24_02",0.96,74,1,"O",204457,"Sphingomonadales",Feb 2023
"150","eICh24_02",0.3,23,1,"O",204458,"Caulobacterales",Feb 2023
"151","eICh24_02",0.09,7,1,"O",54526,"Pelagibacterales",Feb 2023
"152","eICh24_02",0.07,5,1,"O",255473,"Parvularculales",Feb 2023
"153","eICh24_02",0.07,5,1,"O",1191478,"Magnetococcales",Feb 2023
"154","eICh24_02",4.12,316,1,"O",80840,"Burkholderiales",Feb 2023
"155","eICh24_02",0.59,45,1,"O",206351,"Neisseriales",Feb 2023
"156","eICh24_02",0.31,24,1,"O",206389,"Rhodocyclales",Feb 2023
"157","eICh24_02",0.21,16,1,"O",32003,"Nitrosomonadales",Feb 2023
"158","eICh24_02",0.07,5,1,"O",119069,"Hydrogenophilales",Feb 2023
"159","eICh24_02",0.57,44,1,"O",29,"Myxococcales",Feb 2023
"160","eICh24_02",0.48,37,1,"O",213115,"Desulfovibrionales",Feb 2023
"161","eICh24_02",0.4,31,1,"O",69541,"Desulfuromonadales",Feb 2023
"162","eICh24_02",0.33,25,1,"O",213118,"Desulfobacterales",Feb 2023
"163","eICh24_02",0.2,15,1,"O",213462,"Syntrophobacterales",Feb 2023
"164","eICh24_02",0.14,11,1,"O",213481,"Bdellovibrionales",Feb 2023
"165","eICh24_02",0.07,5,0,"O",213113,"Desulfurellales",Feb 2023
"166","eICh24_02",0.07,5,1,"O",453227,"Desulfarculales",Feb 2023
"167","eICh24_02",2.09,160,1,"O",213849,"Campylobacterales",Feb 2023
"168","eICh24_02",0.04,3,1,"O",235899,"Nautiliales",Feb 2023
"169","eICh24_02",0.14,11,1,"O",225057,"Acidithiobacillales",Feb 2023
"170","eICh24_02",5.28,405,1,"O",1385,"Bacillales",Feb 2023
"171","eICh24_02",4.42,339,1,"O",186826,"Lactobacillales",Feb 2023
"172","eICh24_02",2.75,211,1,"O",186802,"Clostridiales",Feb 2023
"173","eICh24_02",0.73,56,1,"O",68295,"Thermoanaerobacterales",Feb 2023
"174","eICh24_02",0.12,9,1,"O",53433,"Halanaerobiales",Feb 2023
"175","eICh24_02",0.03,2,0,"O",485256,"Natranaerobiales",Feb 2023
"176","eICh24_02",0.17,13,1,"O",909929,"Selenomonadales",Feb 2023
"177","eICh24_02",0.12,9,1,"O",1843489,"Veillonellales",Feb 2023
"178","eICh24_02",0.09,7,1,"O",1843488,"Acidaminococcales",Feb 2023
"179","eICh24_02",0.13,10,1,"O",526525,"Erysipelotrichales",Feb 2023
"180","eICh24_02",0.12,9,1,"O",1737405,"Tissierellales",Feb 2023
"181","eICh24_02",0.05,4,1,"O",1676649,"Limnochordales",Feb 2023
"182","eICh24_02",3.3,253,1,"O",85007,"Corynebacteriales",Feb 2023
"183","eICh24_02",1.85,142,1,"O",85006,"Micrococcales",Feb 2023
"184","eICh24_02",0.98,75,1,"O",85004,"Bifidobacteriales",Feb 2023
"185","eICh24_02",0.95,73,1,"O",85011,"Streptomycetales",Feb 2023
"186","eICh24_02",0.57,44,1,"O",85009,"Propionibacteriales",Feb 2023
"187","eICh24_02",0.57,44,1,"O",85010,"Pseudonocardiales",Feb 2023
"188","eICh24_02",0.27,21,1,"O",85008,"Micromonosporales",Feb 2023
"189","eICh24_02",0.25,19,1,"O",2037,"Actinomycetales",Feb 2023
"190","eICh24_02",0.23,18,1,"O",85012,"Streptosporangiales",Feb 2023
"191","eICh24_02",0.13,10,1,"O",1643682,"Geodermatophilales",Feb 2023
"192","eICh24_02",0.12,9,1,"O",85013,"Frankiales",Feb 2023
"193","eICh24_02",0.07,5,1,"O",85014,"Glycomycetales",Feb 2023
"194","eICh24_02",0.07,5,1,"O",414714,"Catenulisporales",Feb 2023
"195","eICh24_02",0.07,5,1,"O",1643683,"Acidothermales",Feb 2023
"196","eICh24_02",0.07,5,1,"O",1643684,"Nakamurellales",Feb 2023
"197","eICh24_02",0.05,4,0,"O",622452,"Kineosporiales",Feb 2023
"198","eICh24_02",0.22,17,1,"O",1643822,"Eggerthellales",Feb 2023
"199","eICh24_02",0.17,13,1,"O",84999,"Coriobacteriales",Feb 2023
"200","eICh24_02",0.1,8,1,"O",84993,"Acidimicrobiales",Feb 2023
"201","eICh24_02",0.08,6,1,"O",84996,"Rubrobacterales",Feb 2023
"202","eICh24_02",0.07,5,1,"O",588673,"Solirubrobacterales",Feb 2023
"203","eICh24_02",0.85,65,1,"O",1890424,"Synechococcales",Feb 2023
"204","eICh24_02",0.36,28,1,"O",1150,"Oscillatoriales",Feb 2023
"205","eICh24_02",0.3,23,1,"O",1118,"Chroococcales",Feb 2023
"206","eICh24_02",0.33,25,1,"O",1161,"Nostocales",Feb 2023
"207","eICh24_02",0.09,7,1,"O",307595,"Gloeobacterales",Feb 2023
"208","eICh24_02",0.08,6,1,"O",52604,"Pleurocapsales",Feb 2023
"209","eICh24_02",0.05,4,1,"O",1890505,"Chroococcidiopsidales",Feb 2023
"210","eICh24_02",1.21,93,1,"O",2085,"Mycoplasmatales",Feb 2023
"211","eICh24_02",0.3,23,1,"O",186328,"Entomoplasmatales",Feb 2023
"212","eICh24_02",0.21,16,1,"O",186329,"Acholeplasmatales",Feb 2023
"213","eICh24_02",0.22,17,1,"O",1202465,"Dehalococcoidales",Feb 2023
"214","eICh24_02",0.14,11,1,"O",32064,"Chloroflexales",Feb 2023
"215","eICh24_02",0.07,5,1,"O",85001,"Sphaerobacterales",Feb 2023
"216","eICh24_02",0.05,4,1,"O",189776,"Thermomicrobiales",Feb 2023
"217","eICh24_02",0.07,5,1,"O",292629,"Anaerolineales",Feb 2023
"218","eICh24_02",0.07,5,1,"O",475963,"Caldilineales",Feb 2023
"219","eICh24_02",0.36,28,1,"O",68933,"Thermales",Feb 2023
"220","eICh24_02",0.33,25,1,"O",118964,"Deinococcales",Feb 2023
"221","eICh24_02",0.07,5,1,"O",1663425,"Fimbriimonadales",Feb 2023
"222","eICh24_02",1.6,123,1,"O",200644,"Flavobacteriales",Feb 2023
"223","eICh24_02",1.02,78,1,"O",171549,"Bacteroidales",Feb 2023
"224","eICh24_02",0.8,61,1,"O",768507,"Cytophagales",Feb 2023
"225","eICh24_02",0.26,20,1,"O",1853229,"Chitinophagales",Feb 2023
"226","eICh24_02",0.25,19,1,"O",200666,"Sphingobacteriales",Feb 2023
"227","eICh24_02",0.38,29,1,"O",191411,"Chlorobiales",Feb 2023
"228","eICh24_02",0.09,7,1,"O",795748,"Ignavibacteriales",Feb 2023
"229","eICh24_02",0.07,5,1,"O",218872,"Fibrobacterales",Feb 2023
"230","eICh24_02",0.07,5,1,"O",219686,"Gemmatimonadales",Feb 2023
"231","eICh24_02",0.94,72,1,"O",136,"Spirochaetales",Feb 2023
"232","eICh24_02",0.16,12,1,"O",1643686,"Brachyspirales",Feb 2023
"233","eICh24_02",0.57,44,1,"O",51291,"Chlamydiales",Feb 2023
"234","eICh24_02",0.3,23,1,"O",112,"Planctomycetales",Feb 2023
"235","eICh24_02",0.07,5,1,"O",666506,"Phycisphaerales",Feb 2023
"236","eICh24_02",0.09,7,1,"O",415000,"Opitutales",Feb 2023
"237","eICh24_02",0.05,4,1,"O",415001,"Puniceicoccales",Feb 2023
"238","eICh24_02",0.08,6,1,"O",48461,"Verrucomicrobiales",Feb 2023
"239","eICh24_02",0.05,4,0,"O",717963,"Methylacidiphilales",Feb 2023
"240","eICh24_02",0.47,36,1,"O",2419,"Thermotogales",Feb 2023
"241","eICh24_02",0.09,7,1,"O",1643946,"Kosmotogales",Feb 2023
"242","eICh24_02",0.09,7,1,"O",1643947,"Petrotogales",Feb 2023
"243","eICh24_02",0.39,30,1,"O",203491,"Fusobacteriales",Feb 2023
"244","eICh24_02",0.22,17,1,"O",204433,"Acidobacteriales",Feb 2023
"245","eICh24_02",0.07,5,1,"O",332160,"Solibacterales",Feb 2023
"246","eICh24_02",0.23,18,1,"O",32069,"Aquificales",Feb 2023
"247","eICh24_02",0.08,6,1,"O",1485951,"Desulfurobacteriales",Feb 2023
"248","eICh24_02",0.2,15,1,"O",189778,"Nitrospirales",Feb 2023
"249","eICh24_02",0.16,12,1,"O",649776,"Synergistales",Feb 2023
"250","eICh24_02",0.14,11,1,"O",188710,"Thermodesulfobacteriales",Feb 2023
"251","eICh24_02",0.14,11,1,"O",191393,"Deferribacterales",Feb 2023
"252","eICh24_02",0.03,2,0,"O",1783344,"Endomicrobiales",Feb 2023
"253","eICh24_02",0.04,3,1,"O",641854,"Elusimicrobiales",Feb 2023
"254","eICh24_02",0.07,5,1,"O",189769,"Chrysiogenales",Feb 2023
"255","eICh24_02",0.04,3,0,"O",693072,"Caldisericales",Feb 2023
"256","eICh24_02",0.04,3,1,"O",203487,"Dictyoglomales",Feb 2023
"257","eICh24_03",6.79,528,1,"O",91347,"Enterobacterales",Feb 2023
"258","eICh24_03",2.47,192,1,"O",72274,"Pseudomonadales",Feb 2023
"259","eICh24_03",1.5,117,1,"O",135622,"Alteromonadales",Feb 2023
"260","eICh24_03",1.04,81,1,"O",135614,"Xanthomonadales",Feb 2023
"261","eICh24_03",1,78,1,"O",135625,"Pasteurellales",Feb 2023
"262","eICh24_03",0.78,61,1,"O",135623,"Vibrionales",Feb 2023
"263","eICh24_03",0.73,57,1,"O",135619,"Oceanospirillales",Feb 2023
"264","eICh24_03",0.72,56,1,"O",135613,"Chromatiales",Feb 2023
"265","eICh24_03",0.68,53,1,"O",72273,"Thiotrichales",Feb 2023
"266","eICh24_03",0.4,31,1,"O",118969,"Legionellales",Feb 2023
"267","eICh24_03",0.31,24,1,"O",135624,"Aeromonadales",Feb 2023
"268","eICh24_03",0.28,22,1,"O",1706369,"Cellvibrionales",Feb 2023
"269","eICh24_03",0.17,13,1,"O",135618,"Methylococcales",Feb 2023
"270","eICh24_03",0.05,4,0,"O",135615,"Cardiobacteriales",Feb 2023
"271","eICh24_03",0.05,4,0,"O",1240482,"Orbales",Feb 2023
"272","eICh24_03",0.05,4,1,"O",1775403,"Nevskiales",Feb 2023
"273","eICh24_03",3.24,252,1,"O",356,"Rhizobiales",Feb 2023
"274","eICh24_03",1.25,97,1,"O",766,"Rickettsiales",Feb 2023
"275","eICh24_03",1.13,88,1,"O",204455,"Rhodobacterales",Feb 2023
"276","eICh24_03",0.98,76,1,"O",204441,"Rhodospirillales",Feb 2023
"277","eICh24_03",0.95,74,1,"O",204457,"Sphingomonadales",Feb 2023
"278","eICh24_03",0.3,23,1,"O",204458,"Caulobacterales",Feb 2023
"279","eICh24_03",0.09,7,1,"O",54526,"Pelagibacterales",Feb 2023
"280","eICh24_03",0.06,5,1,"O",255473,"Parvularculales",Feb 2023
"281","eICh24_03",0.06,5,1,"O",1191478,"Magnetococcales",Feb 2023
"282","eICh24_03",4.1,319,1,"O",80840,"Burkholderiales",Feb 2023
"283","eICh24_03",0.57,44,1,"O",206351,"Neisseriales",Feb 2023
"284","eICh24_03",0.31,24,1,"O",206389,"Rhodocyclales",Feb 2023
"285","eICh24_03",0.21,16,1,"O",32003,"Nitrosomonadales",Feb 2023
"286","eICh24_03",0.06,5,1,"O",119069,"Hydrogenophilales",Feb 2023
"287","eICh24_03",0.57,44,1,"O",29,"Myxococcales",Feb 2023
"288","eICh24_03",0.48,37,1,"O",213115,"Desulfovibrionales",Feb 2023
"289","eICh24_03",0.4,31,1,"O",69541,"Desulfuromonadales",Feb 2023
"290","eICh24_03",0.33,26,1,"O",213118,"Desulfobacterales",Feb 2023
"291","eICh24_03",0.17,13,1,"O",213462,"Syntrophobacterales",Feb 2023
"292","eICh24_03",0.15,12,1,"O",213481,"Bdellovibrionales",Feb 2023
"293","eICh24_03",0.09,7,1,"O",213113,"Desulfurellales",Feb 2023
"294","eICh24_03",0.06,5,1,"O",453227,"Desulfarculales",Feb 2023
"295","eICh24_03",2.08,162,1,"O",213849,"Campylobacterales",Feb 2023
"296","eICh24_03",0.03,2,0,"O",235899,"Nautiliales",Feb 2023
"297","eICh24_03",0.14,11,1,"O",225057,"Acidithiobacillales",Feb 2023
"298","eICh24_03",5,389,1,"O",1385,"Bacillales",Feb 2023
"299","eICh24_03",4.39,341,1,"O",186826,"Lactobacillales",Feb 2023
"300","eICh24_03",2.69,209,1,"O",186802,"Clostridiales",Feb 2023
"301","eICh24_03",0.77,60,1,"O",68295,"Thermoanaerobacterales",Feb 2023
"302","eICh24_03",0.18,14,1,"O",53433,"Halanaerobiales",Feb 2023
"303","eICh24_03",0.04,3,0,"O",485256,"Natranaerobiales",Feb 2023
"304","eICh24_03",0.19,15,1,"O",909929,"Selenomonadales",Feb 2023
"305","eICh24_03",0.1,8,1,"O",1843489,"Veillonellales",Feb 2023
"306","eICh24_03",0.09,7,1,"O",1843488,"Acidaminococcales",Feb 2023
"307","eICh24_03",0.14,11,1,"O",526525,"Erysipelotrichales",Feb 2023
"308","eICh24_03",0.1,8,1,"O",1737405,"Tissierellales",Feb 2023
"309","eICh24_03",0.05,4,1,"O",1676649,"Limnochordales",Feb 2023
"310","eICh24_03",3.18,247,1,"O",85007,"Corynebacteriales",Feb 2023
"311","eICh24_03",1.81,141,1,"O",85006,"Micrococcales",Feb 2023
"312","eICh24_03",0.94,73,1,"O",85004,"Bifidobacteriales",Feb 2023
"313","eICh24_03",0.94,73,1,"O",85011,"Streptomycetales",Feb 2023
"314","eICh24_03",0.57,44,1,"O",85010,"Pseudonocardiales",Feb 2023
"315","eICh24_03",0.54,42,1,"O",85009,"Propionibacteriales",Feb 2023
"316","eICh24_03",0.27,21,1,"O",85008,"Micromonosporales",Feb 2023
"317","eICh24_03",0.23,18,1,"O",2037,"Actinomycetales",Feb 2023
"318","eICh24_03",0.23,18,1,"O",85012,"Streptosporangiales",Feb 2023
"319","eICh24_03",0.13,10,1,"O",1643682,"Geodermatophilales",Feb 2023
"320","eICh24_03",0.12,9,1,"O",85013,"Frankiales",Feb 2023
"321","eICh24_03",0.06,5,1,"O",85014,"Glycomycetales",Feb 2023
"322","eICh24_03",0.06,5,1,"O",414714,"Catenulisporales",Feb 2023
"323","eICh24_03",0.06,5,1,"O",622452,"Kineosporiales",Feb 2023
"324","eICh24_03",0.06,5,1,"O",1643683,"Acidothermales",Feb 2023
"325","eICh24_03",0.06,5,1,"O",1643684,"Nakamurellales",Feb 2023
"326","eICh24_03",0.21,16,1,"O",1643822,"Eggerthellales",Feb 2023
"327","eICh24_03",0.18,14,1,"O",84999,"Coriobacteriales",Feb 2023
"328","eICh24_03",0.1,8,1,"O",84993,"Acidimicrobiales",Feb 2023
"329","eICh24_03",0.08,6,1,"O",84996,"Rubrobacterales",Feb 2023
"330","eICh24_03",0.06,5,1,"O",588673,"Solirubrobacterales",Feb 2023
"331","eICh24_03",0.78,61,1,"O",1890424,"Synechococcales",Feb 2023
"332","eICh24_03",0.31,24,1,"O",1150,"Oscillatoriales",Feb 2023
"333","eICh24_03",0.26,20,1,"O",1118,"Chroococcales",Feb 2023
"334","eICh24_03",0.33,26,1,"O",1161,"Nostocales",Feb 2023
"335","eICh24_03",0.09,7,1,"O",307595,"Gloeobacterales",Feb 2023
"336","eICh24_03",0.08,6,1,"O",52604,"Pleurocapsales",Feb 2023
"337","eICh24_03",0.05,4,0,"O",1890505,"Chroococcidiopsidales",Feb 2023
"338","eICh24_03",1.2,93,1,"O",2085,"Mycoplasmatales",Feb 2023
"339","eICh24_03",0.32,25,1,"O",186328,"Entomoplasmatales",Feb 2023
"340","eICh24_03",0.23,18,1,"O",186329,"Acholeplasmatales",Feb 2023
"341","eICh24_03",0.21,16,1,"O",1202465,"Dehalococcoidales",Feb 2023
"342","eICh24_03",0.17,13,1,"O",32064,"Chloroflexales",Feb 2023
"343","eICh24_03",0.06,5,1,"O",85001,"Sphaerobacterales",Feb 2023
